RF-prob,LR-prob,ADA-prob,NB-prob,DT-prob,MLP-prob,KNN-prob,EX-prob,LGBM-prob,QDA-prob,LDA-AAC,Target
1.0,0.971686757209709,0.5839816208212627,1.7293655060558003e-12,1.0,0.9999994183750537,1.0,1.0,0.9999782621791069,3.4797593661089916e-81,0.7787862623665291,1
1.0,0.999974642530398,0.6609812045231032,1.0,1.0,0.9999999999543459,1.0,1.0,0.9999782621791069,2.1431317789965844e-36,0.9206724750350638,1
0.96,0.9683557556679724,0.6860633019725763,1.0,1.0,0.9566527046284061,0.6,0.99,0.9998908058434175,1.0,0.8208369396800884,1
0.0,1.4819945315173583e-27,0.3908304369282128,3.8470609564115856e-92,0.0,1.28101847882304e-06,0.0,0.0,2.7223105530082682e-05,3.415072631008963e-161,0.010762656486892267,0
0.05,0.11407252335374757,0.4117992716156837,4.329101122300137e-14,0.0,0.0037698542909395004,0.0,0.04,3.308142146236321e-05,2.9012950532598436e-85,0.2878935867069284,0
0.0,0.0674272724830277,0.438860883126746,9.530089487327386e-15,0.0,0.0006823615263558364,0.0,0.12,2.1766184839610355e-05,2.713598402148913e-83,0.3028065784517908,0
1.0,0.9997434756405544,0.7547462656715024,1.0,1.0,0.999999999997804,1.0,0.99,0.9999782621791069,0.0029756247396353266,0.994665402710257,1
0.01,4.795942241089176e-06,0.4376504992244606,2.6894185260733593e-18,0.0,0.0018434378329616938,0.0,0.0,2.1772185344490885e-05,3.2205060214348946e-87,0.08403402427689959,0
1.0,0.9995190622948492,0.7467804799773943,1.0,1.0,0.9999999894127053,1.0,0.99,0.9999782621791069,1.0,0.9953470729501854,1
1.0,0.9266649212667959,0.5553129464271663,1.0,1.0,0.9997870184898471,0.4,0.94,0.9999782621791069,1.402122474023415e-27,0.5409836155030827,1
1.0,0.97676023511291,0.5736894835995595,1.1224542503555945e-12,1.0,0.9999999988882973,1.0,1.0,0.9999782621791069,1.956028148831526e-81,0.8538936344610636,1
1.0,0.9987296247175731,0.7170777404790712,1.0,1.0,0.9999999950285845,1.0,1.0,0.9999782621791069,1.0,0.9321495454468708,1
0.05,0.24903505452486932,0.4503922483407906,6.850529335444768e-13,0.0,0.0005626277985967706,0.0,0.11,2.179089216852828e-05,7.082359647870293e-82,0.8359829672815522,0
1.0,0.9989897592107627,0.7356040842163427,1.0,1.0,0.9999999997652409,1.0,0.99,0.9999782621791069,1.0,0.9935912040684921,1
0.02,3.2449084902839703e-108,0.40078723588879106,0.0,0.0,1.0489975292692562e-14,0.0,0.0,3.415103886022891e-05,0.0,0.0033248527678324227,0
0.87,0.4137921932964356,0.5188226302947575,4.9898162167500935e-14,1.0,0.1471715647992189,1.0,0.81,0.9998757822795754,2.8329372847661834e-82,0.5412283050942579,1
0.0,1.5269954026145937e-11,0.41773199337932443,2.473870863939402e-28,0.0,6.6606397857057e-05,0.0,0.0,2.176942854667597e-05,2.90600229481919e-98,0.1084575742877929,0
1.0,0.9999999475646825,0.7842569211618146,1.0,1.0,0.9999999999999991,1.0,1.0,0.9999782621791069,1.0,0.9973883261803107,1
